iter	Passed	Remaining
617	1272	786
618	1274	784
619	1277	782
620	1279	780
621	1281	778
622	1283	776
623	1285	774
624	1287	772
625	1290	770
626	1291	768
627	1294	766
628	1297	765
629	1300	763
630	1302	761
631	1304	759
632	1306	757
633	1308	755
634	1310	753
635	1312	751
636	1315	749
637	1317	747
638	1318	745
639	1320	742
640	1322	740
641	1325	738
642	1327	736
643	1329	734
644	1331	732
645	1333	730
646	1335	728
647	1337	726
648	1339	724
649	1341	722
650	1343	720
651	1345	718
652	1347	716
653	1349	714
654	1351	712
655	1354	710
656	1356	707
657	1358	705
658	1360	703
659	1362	701
660	1364	699
661	1366	697
662	1368	695
663	1370	693
664	1373	691
665	1375	689
666	1377	687
667	1379	685
668	1381	683
669	1383	681
670	1385	679
671	1387	677
672	1389	675
673	1392	673
674	1394	671
675	1396	669
676	1398	667
677	1400	665
678	1402	663
679	1404	661
680	1406	659
681	1409	657
682	1411	654
683	1413	652
684	1415	650
685	1417	648
686	1419	646
687	1421	644
688	1423	642
689	1425	640
690	1427	638
691	1429	636
692	1431	634
693	1434	632
694	1436	630
695	1439	628
696	1441	626
697	1443	624
698	1445	622
699	1447	620
700	1449	618
701	1451	616
702	1453	614
703	1455	612
704	1457	609
705	1459	607
706	1461	605
707	1463	603
708	1466	601
709	1468	599
710	1470	597
711	1472	595
712	1474	593
713	1476	591
714	1478	589
715	1480	587
716	1482	585
717	1484	582
718	1486	580
719	1488	578
720	1490	576
721	1492	574
722	1494	572
723	1496	570
724	1498	568
725	1500	566
726	1502	564
727	1504	562
728	1506	560
729	1508	558
730	1510	555
731	1512	553
732	1515	551
733	1517	549
734	1519	547
735	1521	545
736	1523	543
737	1525	541
738	1527	539
739	1529	537
740	1531	535
741	1533	533
742	1535	531
743	1537	529
744	1539	526
745	1541	524
746	1543	522
747	1545	520
748	1547	518
749	1549	516
750	1551	514
751	1553	512
752	1555	510
753	1557	508
754	1559	506
755	1562	504
756	1564	502
757	1566	500
758	1568	498
759	1570	496
760	1572	493
761	1574	491
762	1576	489
763	1578	487
764	1580	485
765	1582	483
766	1585	481
767	1587	479
768	1589	477
769	1591	475
770	1593	473
771	1595	471
772	1597	469
773	1599	467
774	1601	465
775	1603	462
776	1605	460
777	1607	458
778	1609	456
779	1611	454
780	1613	452
781	1616	450
782	1618	448
783	1620	446
784	1622	444
785	1624	442
786	1626	440
787	1628	438
788	1630	436
789	1633	434
790	1635	432
791	1637	429
792	1639	427
793	1641	425
794	1643	423
795	1645	421
796	1647	419
